SF_Ratio_Pred,Blowdown_Loss_Min,Blowdown_Loss_Max,Enthalpy_Loss_Min,Enthalpy_Loss_Max,FD_Fan_Out_Min,FD_Fan_Out_Max,FeedWater_Temp_Min,FeedWater_Temp_Max,Fuel_Flow_Min,Fuel_Flow_Max,Fuel_Flow_Total_Min,Fuel_Flow_Total_Max,Stack_Loss_Min,Stack_Loss_Max,Stack_Temp_Min,Stack_Temp_Max,Steam_Flow_Min,Steam_Flow_Max
8.5,0,0.1,1.2,1.6,54,86,62,99,0,2242,1297.317,2926.023,-0.1,21.4,164,235,1613,7000
5.2,0,0.1,1.2,1.7,54,86,32,110,0,3248,1373.117,3093.916,7.3,22.2,178,247,1227,7000
4.2,0,0,1.2,1.7,54,86,57,112,0,2223,1384.286,3134.273,6.8,27.5,154,248,714,7000
9.1,0,0.1,1.3,1.6,54,86,49,98,0,1671,1295.459,2925.96,8.4,13.2,197,235,2343,7000
2.2,0,0,1.2,1.8,54,86,31,104,0,3221,1723.759,3133.109,-0.1,30.4,163,250,0,5876
2.9,0,0,1.2,1.7,54,86,52,113,0,3036,1477.806,3133.879,7.2,69.2,172,248,776,7000
2.6,0,0,1.2,1.7,54,86,26,106,0,2976,1663.132,3134.587,7.2,47.8,152,253,670,6907
19.9,0,0.6,0.4,1.7,54,81,23,105,0,477,1454.937,3134.587,-0.1,951.8,33,244,0,7000
12.4,0.1,0.1,1.3,1.6,54,78,85,101,0,865,1303.85,3026.046,8.1,13,200,228,1967,7000
6.8,0,0.1,1.1,1.6,54,86,58,112,0,1702,1370.944,3079.075,7,18.5,157,240,1478,7000
9.6,0,0.1,1.3,1.6,54,86,67,99,0,1459,1293.881,2921.23,7.9,16.7,189,240,1396,7000
2.7,0,0,0.9,1.7,54,86,24,106,0,3376,1650.881,3134.543,6.1,36.2,107,254,0,7000
3.8,0,0,1.3,1.7,54,86,45,113,0,3320,1384.208,3122.377,6.8,33.9,173,254,1367,7000
3.2,0,0,1.2,1.7,54,86,64,113,0,3048,1423.118,3134.081,7.3,288,175,251,0,7000
5.5,0,0.1,1,1.7,54,86,55,102,0,3060,1301.602,3078.93,7,27.4,120,243,0,7000
5.4,0,0.1,1.3,1.7,54,86,31,104,0,3236,1372.498,3078.586,6.8,20.9,175,245,646,7000
12.5,0.1,0.2,1.3,1.6,54,82,66,101,0,1009,1292.921,3026.046,7.9,13.2,195,231,2904,7000
10.5,0.1,0.1,1.3,1.6,54,84,66,103,0,1064,1293.064,2597.879,7,16.7,197,231,2088,7000
0,0,0,0.4,1.3,54,81,23,107,0,975,1722.985,2784.055,0.3,16.7,35,186,0,0
