EFF_SF_Ratio_lag1,EFF_SF_Ratio_avg_window_length2,EFF_SF_Ratio_avg_window_length3,EFF_SF_Ratio_lag2,EFF_FD_Fan_Out_lag1,EFF_Fuel_Flow_lag1,EFF_SF_Ratio_avg_window_length4,EFF_Stack_Temp_lag1,EFF_Enthalpy_Loss_lag1,EFF_Steam_Temp_lag1,EFF_Blowdown_Loss_lag1
9.801832652,9.797068765,9.791056696,9.792304879,71.45347929,647.0088636,9.786521822,208.8270508,1.402150803,163.9735228,0.075637927
4.021666667,3.821666667,4.033888889,3.621666667,76.81666667,928.95,3.907083333,218.3166667,1.531666667,169.4333333,0
4.001666667,4.2475,4.121666667,4.493333333,80.71666667,1088.6,4.029385593,228.6833333,1.473333333,169.4666667,0
9.601396896,9.598250723,9.590207928,9.59510455,72.1521558,659.5703312,9.58583004,208.2125132,1.400798085,163.5499189,0.073710411
9.058689631,9.057635297,9.064881256,9.056580962,75.28433054,710.7050823,9.074826866,204.8150012,1.386445434,161.2779245,0.067944698
19.9,19.9,17.13611111,19.9,54,0,12.85208333,73.36666667,0.6,99,0.2
2.866666667,2.934166667,3.382222222,3.001666667,80.26666667,1239.3,3.643333333,235.3666667,1.575,167.05,0
8.503333333,9.0075,9.224444444,9.511666667,80.9,748.85,9.283163842,228.4333333,1.49,169.5,0.1
5.218611008,5.223309528,5.227132632,5.228008047,79.39048435,1171.986159,5.230341709,219.6207123,1.501810439,164.7064152,0.021561709
4.14,3.963333333,4.012777778,3.786666667,75.3,862.0333333,3.933333333,219.5166667,1.516666667,167.1,0
9.206900037,9.207980773,9.20712171,9.20906151,74.06173441,692.7161708,9.209770396,206.2042794,1.391690598,162.2310838,0.070055718
7.918333333,7.901539548,7.973804143,7.884745763,78.55,414.2166667,8.352810734,206,1.401666667,170,0.1
6.523333333,8.018333333,7.333888889,9.513333333,60.33333333,517.1166667,6.929166667,217.05,1.538333333,166,0
4.386666667,4.9925,5.336111111,5.598333333,79.6,1086,4.85375,231.75,1.553333333,169.0833333,0
4.72,5.610833333,5.971616162,6.501666667,75.63333333,1143.35,6.774224942,225.6,1.495,166.3833333,0.041666667
3.801666667,3.916666667,4.231111111,4.031666667,74.65,949.75,4.372916667,219.5333333,1.488333333,169.6833333,0
5.254285714,5.121309524,5.053095238,4.988333333,84.68571429,1181.771429,5.023571429,235.7714286,1.5,169.5714286,0
13.07833333,16.48916667,17.62611111,19.9,65.83333333,59.76666667,18.19458333,190.8666667,1.388333333,165.8833333,0.116666667
8.358333333,8.069166667,7.668333333,7.78,67.78333333,448.8166667,7.58375,209.2666667,1.476666667,169.85,0.008333333
